NOMBRE DEL CENTRO,DEPARTAMENTO
Las Tortuguitas,ARTIGAS
Las Almendras,ARTIGAS
Sueño de Hadas,ARTIGAS
Caperucita Roja,ARTIGAS
Gotitas de Esperanza,ARTIGAS
Nueve Lunas,ARTIGAS
Las Tortuguitas II,ARTIGAS
Manitos Traviesas,ARTIGAS
Cabellito,ARTIGAS
Bambi II,ARTIGAS
Haciendo Huellas I,ARTIGAS
Mundo Ternura,ARTIGAS
Pompitas de Colores,ARTIGAS
Piolin II,ARTIGAS
Camalote II,ARTIGAS
Horneritos,ARTIGAS
Takuaré,ARTIGAS
Ardillitas de Algodón II,ARTIGAS
Yvyrá del Sur,ARTIGAS
Villa Manuela,CANELONES
Parque del Plata,CANELONES
Los Pinitos,CANELONES
Vista Linda,CANELONES
Rayito de Sol,CANELONES
Blancanieves ,CANELONES
Materno Infantil Santa Lucía,CANELONES
Materno Infantil  Caritas,CANELONES
Estación Atlántida,CANELONES
Rodriguez Zorrilla,CANELONES
Obra Social del Lago,CANELONES
Los Horneritos,CANELONES
El Principito,CANELONES
Ecofamilia,CANELONES
Por Nuestros Niños,CANELONES
Trencito de colores,CANELONES
La Ronda,CANELONES
Caif Vida y Educación,CANELONES
Nuestros Locos Bajitos,CANELONES
Sagrado Corazón De Jesus II,CANELONES
Caif Nuestra Señora de Guadalupe,CANELONES
Mi Casita de Migues,CANELONES
Mitai,CANELONES
Villa Felicidad,CANELONES
CEMIC ,CANELONES
María del Pinar,CANELONES
Huracanitos II ,CANELONES
Arapí,CANELONES
Brasitas,CANELONES
Luz de Luna,CANELONES
Moiru,CANELONES
Villa Laures III,CANELONES
Los Periquitos I,CANELONES
La Anunciación III,CANELONES
ADSIS PASO,CANELONES
Fraternidad,CANELONES
San José II,CANELONES
Newén,CANELONES
Creando Lazos,CANELONES
Hipódromo las Piedras,CANELONES
Sumando Sueños,CANELONES
Cultivando Risas,CANELONES
Festichicos,CANELONES
Las Piedritas,CANELONES
Raíces y Alas,CANELONES
Semillas Afectos,CANELONES
Fogón de Luz,CANELONES
Los Cerrillos,CANELONES
San Luis,CANELONES
Peques I,CANELONES
El Arca,CANELONES
El Jacarandá,CANELONES
Campanitas Alegres I ,CANELONES
Sonrisas Infantiles,CANELONES
La Paz,CANELONES
De Las Achiras,CANELONES
Niños de la Costa,CANELONES
Clieps Pinar,CANELONES
CLIEPS Colinas,CANELONES
Colibríes ,CANELONES
Marindia II,CANELONES
Fátima,CANELONES
Mburucuyá,CANELONES
CAIF Suárez II,CANELONES
Aprendiendo Juntos,CANELONES
Villa Tálice,CANELONES
CAIF 18 de Mayo,CANELONES
Villa Guadalupe,CANELONES
CAIF Bambú,CANELONES
CAIF La Esperanza,CANELONES
Sabiá,CANELONES
Casa Caracol,CANELONES
DALÍ,CANELONES
Barriletes,CANELONES
Nuestra Sra. De Las Mercedes,CERRO LARGO
Sagrada Familia Cerro Largo,CERRO LARGO
 Las Flores,CERRO LARGO
Casa del Niño,CERRO LARGO
Integral de Desarrollo Infantil,CERRO LARGO
El Jardín,CERRO LARGO
Municipal Barrio Collazo,CERRO LARGO
Fundación Quebracho ,CERRO LARGO
Abejitas Laboriosas,CERRO LARGO
Caif Colibrí,CERRO LARGO
Obreritos,CERRO LARGO
La Casa De Obdulia,CERRO LARGO
Diego Lamas,CERRO LARGO
Gurisito de Río Branco,CERRO LARGO
Chiquillada de Melo,CERRO LARGO
Uniendo Generaciones,CERRO LARGO
 Cañas  ,CERRO LARGO
Mis Primeros Pasos Aceguá ,CERRO LARGO
Garabatos Melo Cerro Largo,CERRO LARGO
Dejando Huellas,CERRO LARGO
CAIF Picapiedras,CERRO LARGO
Los Sabalitos,COLONIA
Las Hormiguitas Colonia,COLONIA
Mi Casita ,COLONIA
Manos Unidas,COLONIA
Centro Servicio Social El Pastoreo,COLONIA
Olof Palme ,COLONIA
Caif Haciendo Caminos,COLONIA
Dientitos de Leche,COLONIA
Ombúes de Lavalle ,COLONIA
Cuna de mis sueños,COLONIA
La Semillita,COLONIA
Racimito,COLONIA
Servir,COLONIA
Pasito a Pasito I,COLONIA
Las Ardillitas Colonia,COLONIA
Una pindó,COLONIA
Mis Manitos,COLONIA
Los Teritos,DURAZNO
 Sagrada Familia Durazno,DURAZNO
Policial Los Pollitos,DURAZNO
Los Honguitos,DURAZNO
Caif Travesuras ,DURAZNO
Canikas,DURAZNO
Las Familias de Cerro Chato,DURAZNO
Los Picapiedras,DURAZNO
Los Trompitos,DURAZNO
Los Tigrecitos,DURAZNO
Cobusu I,DURAZNO
El Nido,DURAZNO
La Higuerita,DURAZNO
Los Horneritos laboriosos,DURAZNO
Madriguera,DURAZNO
Centenario,DURAZNO
Gauchitos,DURAZNO
Gallito Azul,FLORES
Compromiso y Solidaridad,FLORES
Garabato,FLORES
Los Gorriones,FLORES
Ismael Cortinas,FLORES
La Casilla II,FLORES
Pedrera,FLORES
Capilla del Sauce,FLORIDA
Mi Casita del Parque,FLORIDA
11 Dionisio Diaz,FLORIDA
Ceviur Infantil,FLORIDA
CAIF Alberto Gallinal,FLORIDA
Tabare  Los Indiecitos,FLORIDA
Santancieri,FLORIDA
25 De Agosto,FLORIDA
Tierra de los  Artigas,FLORIDA
Itanú,FLORIDA
Las Palomitas II,FLORIDA
Semillitas de Esperanza,FLORIDA
Prado Español III SUPU,FLORIDA
Los Cabritos,LAVALLEJA
Los Cascabeles II,LAVALLEJA
Grillita y Grillin,LAVALLEJA
Dejando Huellitas,LAVALLEJA
Marandú,LAVALLEJA
San Juan Diego  II,LAVALLEJA
Santa Clara de Asís II,LAVALLEJA
Serranitos III,LAVALLEJA
Casa Maternal AUPI,MALDONADO
Pan de Azúcar,MALDONADO
Piriápolis,MALDONADO
Pintando Sonrisas,MALDONADO
Luna Roja,MALDONADO
Por Los Niños,MALDONADO
Terroncitos de azucar I,MALDONADO
Sonrisas y Futuro,MALDONADO
Solcito,MALDONADO
Las Semillitas  Maldonado II,MALDONADO
Pan de Azúcar II,MALDONADO
Carrousel,MALDONADO
Entre Sueños II,MALDONADO
San Miguel,MONTEVIDEO
Nuestra señora De Luxemburgo,MONTEVIDEO
Santa María,MONTEVIDEO
Abracitos,MONTEVIDEO
Casa Cuna Santa Rita,MONTEVIDEO
Casa Maternal La Casilla,MONTEVIDEO
Santa Mónica,MONTEVIDEO
Arcoiris,MONTEVIDEO
Plemuu,MONTEVIDEO
CADI I,MONTEVIDEO
Carrasco Norte,MONTEVIDEO
La Cruz de Carrasco,MONTEVIDEO
Casa de la Amistad,MONTEVIDEO
Obra Social Juan XXIII y Hermana Carmen,MONTEVIDEO
Mi Casita,MONTEVIDEO
Pinocho de Dios,MONTEVIDEO
Educativo Borocotó,MONTEVIDEO
Casita de María,MONTEVIDEO
Hormiguitas,MONTEVIDEO
Los Caramelos Jardín,MONTEVIDEO
Los Fueguitos,MONTEVIDEO
Nuevo París,MONTEVIDEO
Ventura,MONTEVIDEO
Santa Clara,MONTEVIDEO
Catalina Parma de Beisso,MONTEVIDEO
Centro Morel,MONTEVIDEO
Girasol,MONTEVIDEO
Mi Casita Ciudad Vieja,MONTEVIDEO
Libemor,MONTEVIDEO
Macachín,MONTEVIDEO
Virgen Niña,MONTEVIDEO
Creciendo,MONTEVIDEO
Nueva Vida,MONTEVIDEO
Maracanitos,MONTEVIDEO
Esperanza Bella Italia,MONTEVIDEO
Basquadé,MONTEVIDEO
Rinconcito,MONTEVIDEO
Nuevos Rumbos,MONTEVIDEO
Ruteritos,MONTEVIDEO
Mausa,MONTEVIDEO
Rincón del Cerro,MONTEVIDEO
Centro Educativo  Espigas,MONTEVIDEO
Caritas Felices,MONTEVIDEO
Rincón del Sol,MONTEVIDEO
Niño Jesús,MONTEVIDEO
Hogar Hermana Laura,MONTEVIDEO
Los Molineritos,MONTEVIDEO
Ventura II,MONTEVIDEO
Padre Alberto Hurtado,MONTEVIDEO
El Coyote,MONTEVIDEO
Mensajeros de la Paz,MONTEVIDEO
Sonrisas,MONTEVIDEO
Timbal,MONTEVIDEO
Ventura III,MONTEVIDEO
Los Pitufos I,MONTEVIDEO
CADI III,MONTEVIDEO
Mensajeros de la Paz II,MONTEVIDEO
Luceritos,MONTEVIDEO
Daju Bilu II,MONTEVIDEO
Tierra Nueva,MONTEVIDEO
Ctro Latinoamericano de Investigación Educ y Prom Social,MONTEVIDEO
El Alfarero Cooperativo,MONTEVIDEO
Campo de los Milagros II,MONTEVIDEO
Padre Víctor,MONTEVIDEO
Tranvía del Oeste,MONTEVIDEO
Pyporé,MONTEVIDEO
Sembrando Huellas,MONTEVIDEO
Mariposas II,MONTEVIDEO
Misión Padre Dehón,MONTEVIDEO
Las Margaritas,MONTEVIDEO
Verdisol,MONTEVIDEO
Casilda,MONTEVIDEO
Los Suritos,MONTEVIDEO
La Grulla,MONTEVIDEO
Anacahuita,MONTEVIDEO
Padre José A Novoa II,MONTEVIDEO
Caif El Alfarero Cooperativo II,MONTEVIDEO
Gruta de Lourdes,MONTEVIDEO
Centro Infantil Nuestra Señora De  Lourdes II,MONTEVIDEO
Casa Soles,MONTEVIDEO
CAIF Pereira Rossell,MONTEVIDEO
Creare,MONTEVIDEO
Betum-Deti,MONTEVIDEO
Panambi,MONTEVIDEO
Centro de Desarrollo Infantil Seis de diciembre,MONTEVIDEO
Malala,MONTEVIDEO
Itamby,MONTEVIDEO
Nuevo Panambi,MONTEVIDEO
Unaluna,MONTEVIDEO
Arazá,MONTEVIDEO
Los Bosquitos,MONTEVIDEO
Mailhos,MONTEVIDEO
Pequeña Semilla,MONTEVIDEO
El Mamboretá,MONTEVIDEO
Mainumbi,MONTEVIDEO
Santa Mónica del Este,MONTEVIDEO
Mamá Margarita,MONTEVIDEO
MAYMA,MONTEVIDEO
Picasso,MONTEVIDEO
Nuevo Ellauri,MONTEVIDEO
Meleté II,MONTEVIDEO
CAIF Kelé Kelé,MONTEVIDEO
Acuarela Santa Catalina,MONTEVIDEO
Los Delfines II,MONTEVIDEO
Trisquel,MONTEVIDEO
Kalimbaue,MONTEVIDEO
IANAI,MONTEVIDEO
CAIF Guidaí,MONTEVIDEO
Amimbi II,MONTEVIDEO
Caif Baporetí,MONTEVIDEO
Olegario II,MONTEVIDEO
Nuevas Generaciones,MONTEVIDEO
CAIF El Nido,MONTEVIDEO
CAIF Montserrat II,MONTEVIDEO
Caif Providencia,MONTEVIDEO
CAIF Sembrando Camino,MONTEVIDEO
CAIF ABAYUBA,MONTEVIDEO
Construyendo el Presente,MONTEVIDEO
Índigo,MONTEVIDEO
Don Bosco,PAYSANDÚ
Sonrisitas,PAYSANDÚ
Capalgui,PAYSANDÚ
Los Indiecitos,PAYSANDÚ
Las Hojitas Viajeras,PAYSANDÚ
San José Obrero,PAYSANDÚ
Las Naranjitas Verdes,PAYSANDÚ
Gurisitos,PAYSANDÚ
Infantil Independencia,PAYSANDÚ
Los Pasitos,PAYSANDÚ
Nuestra Señora De Fátima,PAYSANDÚ
San Agustín,PAYSANDÚ
Pintando Soles,PAYSANDÚ
Centro,PAYSANDÚ
Artigas III,PAYSANDÚ
Purificación,PAYSANDÚ
Norte,PAYSANDÚ
Nuevo Paysandú,PAYSANDÚ
Porvenir,PAYSANDÚ
San Félix,PAYSANDÚ
Rayitos de Sol Quebracho,PAYSANDÚ
Enanitos Verdes - CAFFI,PAYSANDÚ
Ardillitas Paysandú,PAYSANDÚ
Doña Armelinda ADL,PAYSANDÚ
Caif Gotitas de Rocío,PAYSANDÚ
Aldeas Infantiles Paysandú,PAYSANDÚ
Osito Feliz,RIO NEGRO
Los Macachines,RIO NEGRO
El Trencito,RIO NEGRO
Las Ranitas,RIO NEGRO
Los Pitufos Rio Negro,RIO NEGRO
Corazón,RIO NEGRO
Abejitas,RIO NEGRO
Las Canteras,RIO NEGRO
Younguito,RIO NEGRO
Galubki,RIO NEGRO
Caritas Felices,RIO NEGRO
Caif Anglo,RIO NEGRO
Canteras Mafalda,RIO NEGRO
Los Patitos Rivera,RIVERA
Renacer I,RIVERA
Renacer 2,RIVERA
Treinta y Tres Orientales,RIVERA
Mi Salita,RIVERA
El Ombú,RIVERA
Ventanita Feliz I,RIVERA
Esperanza,RIVERA
Cerro Caquero,RIVERA
Hormiguitas de Vida Nueva,RIVERA
La Pedrera De Rivera,RIVERA
Tranqueritas  II,RIVERA
CAIF Santa Isabel,RIVERA
Obra Social Mandubí II,RIVERA
Desde lo Alto,RIVERA
Mariamol,RIVERA
Tres Cruces,RIVERA
Caminito,ROCHA
Artigas,ROCHA
Artigas II,ROCHA
Centro Infantil Palmareño,ROCHA
La Murguita,ROCHA
Noctilucas,ROCHA
Arrozalito Cebollati,ROCHA
Conejitos,ROCHA
El Ombú De Rocha,ROCHA
Rayuela,ROCHA
Pececitos de Colores,ROCHA
Caracolitos,ROCHA
El Cupi,ROCHA
San Miguel Rocha II,ROCHA
CAIF Los Girasoles,ROCHA
Anawin II,ROCHA
TATETI,ROCHA
Maternal Barrio Williams,SALTO
Obra Social Don Bosco,SALTO
Mi Refugio,SALTO
Nuestra Sra. Del Rosario,SALTO
Karen Malvasio,SALTO
Nuestra Señora De Fátima,SALTO
Pequeños Brillantes,SALTO
Nuestra Señora de Guadalupe,SALTO
El Saladito,SALTO
Ntra.Señora Del Luján,SALTO
Santa Filomena,SALTO
Rincón de Niños Y Niñas,SALTO
Pajaritos,SALTO
Felices los Niños II,SALTO
Colonia 18 de Julio,SALTO
San Antonio,SALTO
Los Gallitos II,SALTO
Nuevo Uruguay,SALTO
Pequeños Angelitos,SALTO
San Eduardo,SALTO
Salto Nuevo Sur,SALTO
Nuevo Don Atilio,SALTO
Horacio Quiroga III,SALTO
Río Uruguay  II,SALTO
Nuevo Amanecer Salto,SALTO
Upalala Ceibal Sur,SALTO
Rincón Infantil,SAN JOSÉ
La Calesita,SAN JOSÉ
Placita 4 de Octubre,SAN JOSÉ
Los Maragatitos,SAN JOSÉ
Arcoiris San José,SAN JOSÉ
Madre Teresa,SAN JOSÉ
María Auxiliadora,SAN JOSÉ
Lucerito,SAN JOSÉ
Sol y Luna  I,SAN JOSÉ
Chiquilladas,SAN JOSÉ
Rincón de Luz,SAN JOSÉ
Los Colonitos,SAN JOSÉ
El Ceibo,SAN JOSÉ
Cupacam,SAN JOSÉ
Acuarela San José,SAN JOSÉ
Desde el Pie,SAN JOSÉ
Acurruco,SAN JOSÉ
Caif Anambé,SAN JOSÉ
Unión Pro-Guardería Infantil,SORIANO
Barrio 33 Orientales,SORIANO
Los Pitufos  Soriano,SORIANO
Las Ardillitas,SORIANO
Las Chispitas II,SORIANO
Bichitos de Luz,SORIANO
Mis Primeros Pasitos,SORIANO
Jesús María Habilitado IV,SORIANO
Adelante,SORIANO
Cunitas II,SORIANO
Rinconcito de Luz II,SORIANO
Nuestra Placita,SORIANO
Del Oeste III,SORIANO
Estrellitas de Colores,SORIANO
Las Palmitas,SORIANO
Rissitas Mágicas,SORIANO
Años Magicos,SORIANO
Diurno Infantil,TACUAREMBÓ
Villa Ansina,TACUAREMBÓ
Cuchilla de la Gloria,TACUAREMBÓ
Los Toritos,TACUAREMBÓ
Maravillas,TACUAREMBÓ
El Pollito Azul,TACUAREMBÓ
Semillitas de Alegría,TACUAREMBÓ
Pasito Central,TACUAREMBÓ
Santa Isabel,TACUAREMBÓ
Nazarenito,TACUAREMBÓ
La Colmenita,TACUAREMBÓ
Los Molles,TACUAREMBÓ
San Vicente,TACUAREMBÓ
Cardito Azul,TACUAREMBÓ
Charaboncitos,TACUAREMBÓ
Mojarritas del Hum,TACUAREMBÓ
Sembrando,TACUAREMBÓ
Garabatos  TACUAREMBÓ,TACUAREMBÓ
Sansueña,TACUAREMBÓ
Los Naranjitos,TREINTA Y TRES
Villa Sara,TREINTA Y TRES
Lavalleja,TREINTA Y TRES
Azahares,TREINTA Y TRES
Caminito Santa Clara,TREINTA Y TRES
Centro CAIF El Ceibo De Vergara,TREINTA Y TRES
Pequeño Dionisio  I,TREINTA Y TRES
Don Vicente,TREINTA Y TRES
Don Lorenzo,TREINTA Y TRES
Primero la Infancia,TREINTA Y TRES
Juana Quinela II,TREINTA Y TRES
Santa María II,TREINTA Y TRES
El Arrayán,TREINTA Y TRES